Ticket No,Priority,State,Category,Issue,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T604,High,Illinois,Cyber Security Breach,Firewall,Legal,On Prem Cloud,03-12-2021 20:54,03-12-2021 21:08,03-12-2021 21:46,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T605,Low,Michigan,Data Privacy,HIPAA,Manufacturing,On Prem Server,03-12-2021 23:31,03-12-2021 23:33,04-12-2021 00:41,Sylviya,Excellent (5),Resolved,,Personal Call
T606,High,Texas,Data Privacy,Privacy Assessment,HR,Vendor Cloud,06-12-2021 09:47,06-12-2021 09:49,13-12-2021 16:51,Sebastian,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T607,High,California,Cyber Consultation,Database Security,Legal,Vendor Cloud,07-12-2021 01:51,07-12-2021 17:33,15-12-2021 20:11,Michael,Excellent (5),Resolved,,Ticket Portal
T608,Low,Washington,Data Privacy,HIPAA,Marketing,Vendor Cloud,07-12-2021 20:21,07-12-2021 20:21,17-02-2022 23:16,Aleena,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T609,Low,Tennessee,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,08-12-2021 03:23,08-12-2021 15:01,15-12-2021 21:49,Sean,Excellent (5),Resolved,,Mail
T61,Low,Ohio,Data Leak,Phishing,HR,On Prem Server,17-02-2021 09:56,17-02-2021 09:57,17-02-2021 09:58,Benny,Excellent (5),Resolved,,Ticket Portal
T610,High,Pennsylvania,Data Leak,Insider Threat,Legal,On Prem Cloud,08-12-2021 22:17,09-12-2021 10:09,13-12-2021 15:16,Bob,Excellent (5),Resolved,,Personal Call
T611,High,New York,Security Gap,Unauthorized software,Legal,On Prem Cloud,09-12-2021 17:30,09-12-2021 17:36,12-12-2021 10:44,Cinderalla,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T612,Low,New Jersey,Security Gap,Password non-expiry,Marketing,On Prem Server,09-12-2021 22:46,09-12-2021 22:53,13-01-2022 02:37,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T613,Low,Virginia,Data Privacy,GDPR,IT,Vendor Cloud,10-12-2021 00:14,10-12-2021 00:17,10-12-2021 18:09,Martina,Excellent (5),Advised for a risk assessment,,Personal Call
T614,High,Colorado,Data Privacy,HIPAA,Legal,Vendor Cloud,13-12-2021 16:21,13-12-2021 17:12,21-12-2021 15:11,Michael,Satisfactory (3),Advised for a risk assessment,,Personal Call
T615,High,Texas,Cyber Security Breach,Trojan Attack,Legal,Vendor Cloud,13-12-2021 16:58,13-12-2021 17:00,15-12-2021 10:58,Sebastian,Satisfactory (3),Advised for a risk assessment,,Personal Call
T616,High,Virginia,Data Privacy,GDPR,Manufacturing,On Prem Server,13-12-2021 17:06,13-12-2021 17:14,17-12-2021 19:21,Michael,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T617,Medium,Oregon,Data Leak,Phishing,IT,On Prem Server,13-12-2021 17:14,13-12-2021 17:16,13-12-2021 21:00,Sebastian,Excellent (5),Resolved,,Ticket Portal
T618,High,Mississippi,Data Leak,Phishing,HR,On Prem Cloud,15-12-2021 15:36,15-12-2021 15:39,20-12-2021 16:42,Michael,Unsatisfactory (2),Resolved,,Ticket Portal
T619,High,New York,Cyber Consultation,BCP/DR,Finance,On Prem Server,15-12-2021 20:21,16-12-2021 09:27,21-12-2021 10:19,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T62,Low,Florida,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,17-02-2021 16:26,17-02-2021 16:28,16-07-2021 09:06,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T620,Low,New Jersey,Cyber Consultation,Access Management,HR,On Prem Server,17-12-2021 15:30,17-12-2021 15:30,22-03-2022 09:32,Bob,Excellent (5),Resolved,,Personal Call
T621,Low,California,Data Privacy,Privacy Assessment,Manufacturing,On Prem Cloud,20-12-2021 11:42,20-12-2021 11:45,20-12-2021 12:04,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call
T622,Low,Kentucky,Data Leak,Vishing,HR,On Prem Server,20-12-2021 15:57,20-12-2021 15:58,17-02-2022 17:35,Aleena,Good (4),Recommended Threat Assessment,,Ticket Portal
T623,High,California,Data Privacy,PCI-DSS,Marketing,On Prem Server,21-12-2021 06:05,21-12-2021 10:51,21-12-2021 14:21,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T624,High,Colorado,Data Privacy,PCI-DSS,HR,On Prem Server,30-12-2021 03:56,30-12-2021 10:54,30-12-2021 17:53,Benny,Excellent (5),Advised for a risk assessment,,Mail
T625,Low,Georgia,Cyber Consultation,Access Management,IT,Vendor Cloud,30-12-2021 15:22,30-12-2021 15:26,30-12-2021 15:31,Allan,Good (4),Advised for a risk assessment,,Ticket Portal
T626,High,California,Security Gap,Obsolete Software,HR,On Prem Cloud,30-12-2021 15:50,30-12-2021 15:51,30-12-2021 15:52,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T627,High,New Jersey,Data Leak,Phishing,Finance,On Prem Server,30-12-2021 16:12,30-12-2021 16:13,03-01-2022 11:48,Allan,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T63,Medium,New York,Data Leak,Insider Threat,Marketing,Vendor Cloud,17-02-2021 21:07,17-02-2021 21:17,13-07-2021 18:57,Martina,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T64,High,New York,Data Privacy,HIPAA,IT,On Prem Server,18-02-2021 20:29,18-02-2021 20:36,02-06-2021 10:13,Charles,Excellent (5),Recommended Threat Assessment,,Mail
T65,Low,California,Data Privacy,HIPAA,Manufacturing,Vendor Cloud,18-02-2021 20:43,18-02-2021 20:49,25-02-2021 19:11,Charles,Excellent (5),Recommended Threat Assessment,,Mail
T66,Medium,North Carolina,Data Leak,Phishing,Marketing,On Prem Server,19-02-2021 06:13,19-02-2021 06:18,19-02-2021 18:52,Benny,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T67,High,Wisconsin,Cyber Security Breach,Malware Attack,IT,On Prem Server,19-02-2021 13:58,19-02-2021 14:01,02-06-2021 10:20,Martina,Excellent (5),Resolved,,Mail
T68,High,California,Data Leak,Vishing,HR,On Prem Server,19-02-2021 18:34,19-02-2021 18:37,24-02-2021 12:17,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T69,Low,District of Columbia,Data Privacy,Privacy Assessment,IT,On Prem Server,20-02-2021 15:49,20-02-2021 15:55,28-02-2021 10:11,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T70,High,New York,Data Privacy,HIPAA,HR,On Prem Server,20-02-2021 21:23,20-02-2021 21:27,20-02-2021 21:27,Martina,Excellent (5),Resolved,,Ticket Portal
T71,Low,Pennsylvania,Data Privacy,Privacy Assessment,HR,Vendor Cloud,25-02-2021 11:01,25-02-2021 11:05,31-02-2021  11:30:57,Sebastian,Excellent (5),Resolved,,Personal Call
T72,High,Virginia,Data Leak,Phishing,Finance,Vendor Cloud,26-02-2021 11:43,26-02-2021 11:44,26-02-2021 11:46,Kareema,Excellent (5),Resolved,,Personal Call
T73,High,Florida,Security Gap,Obsolete Software,Manufacturing,On Prem Cloud,26-02-2021 19:27,26-02-2021 19:30,22-09-2021 11:17,Robbin,Good (4),Recommended Threat Assessment,,Personal Call
T74,High,North Carolina,Cyber Security Breach,Malware Attack,IT,On Prem Server,27-02-2021 15:58,27-02-2021 16:15,08-06-2021 09:23,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T75,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,28-02-2021 15:09,28-02-2021 15:12,22-06-2021 16:21,Kareema,Good (4),Resolved,,Ticket Portal
T76,High,California,Data Privacy,GDPR,IT,Vendor Cloud,03-03-2021 12:46,03-03-2021 12:48,03-06-2021 16:35,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T77,High,California,Data Privacy,GDPR,IT,Vendor Cloud,03-03-2021 12:46,03-03-2021 12:48,03-06-2021 16:35,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T78,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,04-03-2021 09:52,04-03-2021 10:12,17-03-2021 09:44,Michael,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T79,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,04-03-2021 09:52,04-03-2021 10:12,17-03-2021 09:44,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T80,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,04-03-2021 10:55,04-03-2021 10:55,18-03-2021 11:06,Allan,Excellent (5),Advised for a risk assessment,,Personal Call
T81,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,05-03-2021 21:27,05-03-2021 21:45,07-03-2021 20:14,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T82,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,05-03-2021 21:33,28-04-2021 22:11,10-03-2021 18:30,Martina,Good (4),Recommended Threat Assessment,,Mail
T83,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,06-03-2021 19:36,08-07-2021 01:39,11-03-2021 10:17,Sean,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T84,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,06-03-2021 19:36,08-07-2021 01:39,11-03-2021 10:17,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T85,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,06-03-2021 19:47,06-03-2021 20:09,10-03-2021 11:04,Sylviya,Good (4),Advised for a risk assessment,,Mail
T86,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,07-03-2021 14:38,07-03-2021 14:41,03-09-2021 17:36,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T87,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,07-03-2021 17:14,07-03-2021 18:23,18-03-2021 11:03,Allan,Good (4),Resolved,,Personal Call
T88,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,10-03-2021 17:10,10-03-2021 17:15,20-03-2021 10:34,Bob,Satisfactory (3),Advised for a risk assessment,,Mail
T89,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,10-03-2021 17:24,10-03-2021 17:26,21-03-2021 20:07,Aleena,Unsatisfactory (2),Resolved,Yes,Mail
T90,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,10-03-2021 17:24,10-03-2021 17:26,21-03-2021 20:07,Aleena,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T91,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,11-03-2021 12:15,11-03-2021 12:16,13-03-2021 22:08,Charlotte,Excellent (5),Advised for a risk assessment,,Mail
T92,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,11-03-2021 17:17,11-03-2021 17:18,13-03-2021 11:46,Kareema,Excellent (5),Resolved,,Ticket Portal
T93,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,11-03-2021 23:36,12-03-2021 01:18,17-03-2021 21:45,Sean,Excellent (5),Resolved,,Ticket Portal
T94,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,11-03-2021 23:36,12-03-2021 01:18,17-03-2021 21:45,Martina,Excellent (5),Resolved,,Mail
T95,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,12-03-2021 11:55,12-03-2021 11:58,17-03-2021 09:47,Michael,Excellent (5),Resolved,,Ticket Portal
T96,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,12-03-2021 11:55,12-03-2021 11:58,17-03-2021 09:47,Benny,Excellent (5),Resolved,,Personal Call
T97,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,12-03-2021 11:55,12-03-2021 11:58,17-03-2021 09:47,Benny,Excellent (5),Resolved,,Mail
T98,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,12-03-2021 17:45,12-03-2021 17:46,13-03-2021 11:45,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T99,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,13-03-2021 14:20,13-03-2021 14:28,17-03-2021 10:43,Benny,Excellent (5),Resolved,,Ticket Portal
